Date : 2025-04-17 17:07:51
Directory : e:\Projects\Nextjs-projects\icstudio-reset
Total : 66 files,  16497 codes, 437 comments, 1808 blanks, all 18742 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\Projects\Nextjs-projects\icstudio-reset\src\components\ui\button.tsx                           | TypeScript JSX     |         54 |          0 |          6 |         60 |
| e:\Projects\Nextjs-projects\icstudio-reset\src\components\ui\card.tsx                             | TypeScript JSX     |         83 |          0 |         10 |         93 |
| e:\Projects\Nextjs-projects\icstudio-reset\src\components\ui\dropdown-menu.tsx                    | TypeScript JSX     |        181 |          0 |         17 |        198 |
| e:\Projects\Nextjs-projects\icstudio-reset\src\components\ui\input.tsx                            | TypeScript JSX     |         18 |          0 |          4 |         22 |
| e:\Projects\Nextjs-projects\icstudio-reset\src\components\ui\textarea.tsx                         | TypeScript JSX     |         15 |          0 |          4 |         19 |
| e:\Projects\Nextjs-projects\icstudio-reset\src\components\ui\wavy-background.tsx                  | TypeScript JSX     |        124 |          5 |          8 |        137 |
| e:\Projects\Nextjs-projects\icstudio-reset\src\lib\utils.ts                                       | TypeScript         |          5 |          0 |          2 |          7 |
| e:\Projects\Nextjs-projects\icstudio-reset\src\store\theme-store.ts                               | TypeScript         |        126 |         18 |         19 |        163 |
| e:\Projects\Nextjs-projects\icstudio-reset\tailwind.config.ts                                     | TypeScript         |         73 |          0 |          3 |         76 |
| e:\Projects\Nextjs-projects\icstudio-reset\tsconfig.json                                          | JSON with Comments |         28 |          0 |          1 |         29 |
| Total                                                                                             |                    |     16,497 |        437 |      1,808 |     18,742 |
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
